Product Name;Store;Price;Package Weight in g;Calories per 100g;Protein per 100g;Fat per 100g;Carbs per 100g;category
Peking cabbage;Arbuz.kz;233;1500;13;1,20;0,2;2,00;veg_fruit
Galangal root;Arbuz.kz;1375;100;71;1,80;0,4;15,80;veg_fruit
Baby fennel ;Arbuz.kz;5540;200;;;;;veg_fruit
Radish Kazakhstan;Arbuz.kz;182;700;32;2,00;0,2;6,50;veg_fruit
Репа;Arbuz.kz;415;500;;;;;veg_fruit
Редис Казахстан пучок;Arbuz.kz;465;;20;1,20;0,1;3,40;veg_fruit
Редька дайкон;Arbuz.kz;635;1000;;;;;veg_fruit
Packed ginger;Arbuz.kz;562;400;;;;;veg_fruit
Artichoke medium piece;Arbuz.kz;3415;;;;;;veg_fruit
Eggplants Kazakhstan;Arbuz.kz;988;800;;;;;veg_fruit
Кабачки Tausugur agro;Arbuz.kz;1455;1000;;;;;veg_fruit
Asparagus mini ;Arbuz.kz;3455;150;21;1,90;0,1;3,10;veg_fruit
Sweet peas ;Arbuz.kz;2000;100;;;;;veg_fruit
Corn Baby;Arbuz.kz;2670;125;;;;;veg_fruit
Грибы Be Fresh Produce BV Шампиньоны;Arbuz.kz;2870;250;27;0,30;0,3;3,00;veg_fruit
Mushrooms champignon Kazakhstan ;Arbuz.kz;1690;500;;;;;veg_fruit
Mr.Green Trio Salad;Arbuz.kz;940;150;;;;;veg_fruit
Fitness mrs. mixture Green Salad;Arbuz.kz;1305;120;16;1,50;0,2;2,00;veg_fruit
Italian salad GoGreen HoReCa;Arbuz.kz;899;100;15;2,13;0;2,59;veg_fruit
Spring;Arbuz.kz;230;100;22;1,50;0,3;2,90;veg_fruit
Spinach;Arbuz.kz;175;100;;;;;veg_fruit
Лемонграсс Fresh;Arbuz.kz;780;50;99;1,80;0,5;25,00;veg_fruit
AC trout fillet in honey sauce, freshly frozen;Arbuz.kz;6085;350;142;19,60;6,3;0,30;protein
Santa Bremor herring Fillet-chopped pieces of traditional herring under a fur coat;Arbuz.kz;2175;400;;;;;protein
Files Santa Bremor Matias delicious selected XXL;Arbuz.kz;2075;300;;;;;protein
Herring fillet Russian Sea lightly salted traditional ambassador in oil;Arbuz.kz;2595;500;;;;;protein
Сибас Ocean Fresh Group потрошёный с головой;Arbuz.kz;3075;300;97;;;;protein
Salmon Kingfisher seal;Arbuz.kz;3500;140;;;;;protein
Pollock Borealis fillet block;Arbuz.kz;4918;750;90;20,00;1;0,00;protein
Arbuz Select frozen mackerel ;Arbuz.kz;6150;1000;191;18,00;13,2;0,00;protein
Salmon seven seas from frozen fish cleaned;Arbuz.kz;15000;1000;202;22,50;12,5;;protein
Zander fillet AC Frozen;Arbuz.kz;4250;500;83;19,00;0,8;;protein
Pink salmon Seven Seas of cold smoked ;Arbuz.kz;3575;500;;;;;protein
Tuna steak Elite Fish ;Arbuz.kz;6040;500;122,4;25,00;1,5;4,00;protein
Arbuz Select soup meat set;Arbuz.kz;3299;1000;220;19,19;15,32;;protein
Minced KazBeef from marbled beef 80/20.;Arbuz.kz;5980;1000;289;16,00;25;;protein
Minced Arbuz Select farm beef lean frozen;Arbuz.kz;4599;500;131,1;19,10;6,1;0,00;protein
Gulyash KazMyaso beef chilled in pac.;Arbuz.kz;7859;1083;141,3;18,90;7,3;;protein
Minced KazBeef marbled beef chilled 80/20;Arbuz.kz;4455;700;289;17,17;20;;protein
Minced Arbuz Select farm beef 80/20;Arbuz.kz;2999;500;254;17,20;20;;protein
"KazBeef ""Farmer"" steak made of marbled beef";Arbuz.kz;2924;250;;;;;protein
Steak Arbuz Select Filet mignon, frozen;Arbuz.kz;5999;300;220;19,19;15,32;;protein
Minced Arbuz Select beef 80/20 frozen;Arbuz.kz;2999;500;220;19,19;15,32;;protein
Arbuz Select steak New York frozen ;Arbuz.kz;4999;250;220;19,19;15,32;;protein
Arbuz Select farm lean frozen beef pulp;Arbuz.kz;9380;1000;158;22,20;7,1;;protein
Lean Arbuz Select Farm Back frozen beef pulp;Arbuz.kz;9599;1000;116;20,00;4;;protein
KazBeef minced marbled beef 80/20 frozen;Arbuz.kz;5980;1000;289;160,00;250;;protein
Lean Arbuz Select Farm Back frozen beef pulp;Arbuz.kz;9599;1000;116;20,00;4;;protein
Frozen pork neck in pac;Arbuz.kz;19600;3500;;;;;protein
KazBeef thigh flesh from marbled beef;Arbuz.kz;14355;1000;;;;;protein
Rib Eye steak Arbuz Select Farm frozen;Arbuz.kz;4060;350;145;15,00;8;;protein
Shuzhyk Meta Farm;Arbuz.kz;10095;1000;203;12,10;16;;protein
Fillet Kus Vkus taste of a chicken chicken chilled on;Arbuz.kz;2828;1000;113;22,00;2,5;;protein
Arbuz Select frozen chicken fillet;Arbuz.kz;2055;700;120;24,10;1,8;0,20;protein
Thigh fillet Couscous Taste of broiler chicken chilled on a substrate ;Arbuz.kz;3552;1200;190;16,00;14;;protein
Arbuz Select chilled chicken drumstick;Arbuz.kz;1712;700;153;18,20;7,7;0,20;protein
Arbuz Select Chilled Chicken Thigh;Arbuz.kz;1544;700;204;16,30;14,2;0,09;protein
Arbuz Select Chilled Chicken wings ;Arbuz.kz;1670;700;216;17,10;14,9;0,30;protein
Arbuz Select chicken drumstick;Arbuz.kz;4299;900;198;18,00;14;0,71;protein
Kus Vkus chicken thigh broiler on the substrate chilled;Arbuz.kz;1921;1000;140;18,00;8;;protein
Arbuz Select Frozen Chicken Thigh;Arbuz.kz;1152;700;204;16,30;14,2;0,09;protein
Eco -chicken filler Tsyplenka - Boiler in a vacuum frozen ;Arbuz.kz;2855;1000;;;;;protein
Medallions of Dumpy from the lower leg, frozen in a vacuum;Arbuz.kz;2304;800;134;15,8;7,40;;protein
Wing alfur shoulder part of the chicken-broiler frozen;Arbuz.kz;2016;1000;174;21,90;9,6;;protein
Thigh eco -chicken chicken - broiler in vacuum frozen;Arbuz.kz;2405;1000;206;16,50;14,3;0,09;protein
Сыр Ламбер гурмэ 55%;Arbuz.kz;5585;500;396;24,70;33;;dairy
Belebeevsky cheese 45%;Arbuz.kz;1235;120;347;27,00;26,5;;dairy
Belebeevsky cheese 190 g;Arbuz.kz;1820;347;27;26,50;;;dairy
Brest-Litovsk cheese cream bar 50% ;Arbuz.kz;1405;200;355,5;22,50;29,5;;dairy
Arbuz Select Halumi cheese;Arbuz.kz;2599;200;352;21,40;28,5;2,40;dairy
Natige cheese white suluguni 45%;Arbuz.kz;3568;350;276;;;;dairy
Mozarellas Unagrande cheese sticks;Arbuz.kz;1536;120;297;22,50;23,5;;dairy
Cheese Almette Creamy Cream;Arbuz.kz;1350;150;282;6,00;27,4;2,80;dairy
Hard cheese President Gouda, portioned 50%;Arbuz.kz;1665;160;364,5;27,00;28,5;0,50;dairy
Arbuz Select Suluguni cheese;Arbuz.kz;2299;180;286;20,50;22;0,40;dairy
Egg Kazger-Kus Premium chicken;Arbuz.kz;1205; 15 pcs;157;12,70;11,5;0,70;protein
Egg Казгер-Кус Kurin C1 tray;Arbuz.kz;1960;30 pcs;157;12,70;11,5;0,70;protein
Egg Казгер-Кус chicken selected tray;Arbuz.kz;2230;31 pcs;157;12,70;11,5;0,70;protein
President butter 82%;Arbuz.kz;3843;400;743;0,50;82;0,80;butter
President Gastronomik unsalted butter 82%;Arbuz.kz;2395;250;743;0,50;82;0,80;butter
Egg Казгер-Кус chicken premium tray;Arbuz.kz;1652;20 pcs;157;12,70;11,5;0,70;protein
Eggs Foodz chicken farm/homemade;Arbuz.kz;1350;15 pcs;157;12,70;11,5;0,70;protein
Butter Brest-Litovsk unsalted sweet 82.5%;Arbuz.kz;1345;180;747,7;0,50;82,5;0,80;butter
Eggs QarQus higher variety;Arbuz.kz;1343;15 pcs;157;11,50;12,7;0,70;protein
Ayran Lyazzat;Arbuz.kz;250;300;36;1,40;1,2;3,50;dairy
Продукт Exponenta HIGH-PRO 160 г;Arbuz.kz;1088;160;61;12,5;0,00;3;dairy
Продукт Exponenta HIGH-PRO со вкусом вишня-пломбир;Arbuz.kz;1088;160;87;12,50;0;3,00;dairy
Cottage cheese President 9%;Arbuz.kz;1072;450;135;12,00;9;1,50;dairy
Cottage cheese Amiran live 9%;Arbuz.kz;799;220;86;18,00;9;1,50;dairy
Amiran sour cream 20%;Arbuz.kz;959;380;205;2,80;20;3,20;dairy
Cottage cheese President homemade 5%;Arbuz.kz;915;450;135;12,00;5;3,00;dairy
Sour cream President 15%;Arbuz.kz;863;400;254;2,60;15;4,00;dairy
Kefir Food Master 2.5;Arbuz.kz;643;1000;53;3,10;2,5;4,60;dairy
Cottage cheese Adal Products of our farms Traditional 5%;Arbuz.kz;485;200;120;14,00;5;3,00;dairy
Cottage cheese Prostokvashino soft 5%;Arbuz.kz;646;170;95;8,60;5;4,00;dairy
Cottage cheese paste Amiran for children 9%;Arbuz.kz;404;100;165;18,00;9;2,00;dairy
Sour cream President 20%;Arbuz.kz;845;400;204;2,20;20;3,80;dairy
Kefir Amiran live 2.5%;Arbuz.kz;461;500;49,7;2,90;2,5;3,90;dairy
Spaghetti Mazzi with chili pepper ;Arbuz.kz;2890;500;371;13,40;0,68;77,80;grains
Birkel spiral pasta;Arbuz.kz;1999;500;361;13,00;2,5;70,00;grains
Macarone Sultan Spiral 12;Arbuz.kz;445;400;344;10,50;1,1;71,50;grains
Pasta Barilla 5 cereals Fusilli;Arbuz.kz;913;450;348;13,00;1,5;68,00;grains
Buckwheat noodles Sen Soy Premium Soba;Arbuz.kz;2275;300;;;;;grains
Pasta Barilla Farfalle;Arbuz.kz;944;400;359;14,00;2;69,70;grains
Makarons Makfa Tricollini spirals;Arbuz.kz;582;450;367;15,50;1,3;73,20;grains
Pasta Zabler Hochzeit faden nudelne;Arbuz.kz;3299;500;363;13,00;3;71,00;grains
Pasta Tress Feine Spätzle;Arbuz.kz;2125;500;373;15,30;3,3;68,60;grains
Кускус Arbuz select ;Arbuz.kz;1399;400;328;20,00;4;46,00;grains
Булгур Arbuz;Arbuz.kz;1099;400;399;12,50;1,5;69,80;grains
Рис Arbuz select белый длиннозерный;Arbuz.kz;955;700;360;6,50;1;79,00;grains
Рис Arbuz select пропаренный длиннозерный;Arbuz.kz;990;700;350;7,50;1;78,00;grains
Фасоль Arbuz select красная;Arbuz.kz;1199;700;333;20,80;1;49,10;grains
Крупа Arbuz select гречневая;Arbuz.kz;499;700;309;12,60;3,3;57,10;grains
Киноа Arbuz;Arbuz.kz;1995;400;384,3;14,90;11,9;63,90;grains
Крупа Arbuz select манная;Arbuz.kz;395;700;326;10,30;1;67,40;grains
Чечевица Arbuz select красная ;Arbuz.kz;799;700;352;24,40;1,3;54,00;grains
Рис Arbuz select для плова;Arbuz.kz;655;700;360;7,00;1;7,00;grains
Крупа Arbuz select горох колотый ;Arbuz.kz;399;700;314;23,00;1,6;50,80;grains
Рис Arbuz select Camolino;Arbuz.kz;695;700;330;7,00;1;70,00;grains
Buckwheat makfa nucleus;Arbuz.kz;719;800;381;12,30;3,4;75,20;grains
Rice makfa round -grain grinded;Arbuz.kz;1185;800;33;7,00;1;74,00;grains
Rice asiarice brown;Arbuz.kz;1865;800;;;;;grains
Buckwheat Extra Buckwheat for cooking 5 bags ;Arbuz.kz;885;400;;;;;grains
